HPI rank,country,Region,Life Sat,Life Exp,HLY,EF,,Happy Planet Index,HPI colour code
1,Mexico,,,,,,,50.1,2
2,Switzerland,,,,,,,45.6,2
3,Netherlands,,,,,,,45.2,2
4,Sweden,,,,,,,44.3,2
5,Greece,,,,,,,43.3,2
6,Austria,,,,,,,42,2
7,Portugal,,,,,,,41.9,2
8,Italy,,,,,,,41.8,3
9,Spain,,,,,,,41,2
10,Ireland,,,,,,,39.3,2
11,Belgium,,,,,,,39.2,3
12,United Kingdom,,,,,,,39.2,2
13,Finland,,,,,,,38.4,2
14,Germany,,,,,,,36.6,3
15,Korea,,,,,,,36.6,2
16,France,,,,,,,35.9,2
17,Japan,,,,,,,34.8,3
18,Canada,,,,,,,33.1,3
19,Iceland,,,,,,,33,2
20,New Zealand,,,,,,,30.7,2
21,Denmark,,,,,,,30,3
22,United States of America,,,,,,,29.8,3
23,Australia,,,,,,,28.7,3
24,Norway,,,,,,,24.4,3
25,Luxembourg,,,,,,,21.7,3
