HPI Rank,country,Colour Rank,Sub-Region,"Life 
Expectancy","Well-being
(0-10)","Footprint
(gha/capita)",,Happy Planet Index,,,,,
1,Costa Rica,1,1a,79.3,7.3,2.5,=,64,,,,,
2,Vietnam,2,6c,75.2,5.8,1.4,=,60.4,,,,,
3,Colombia,10,1b,73.7,6.4,1.8,=,59.8,,,,,
4,Belize,3,1a,76.1,6.5,2.1,=,59.3,,,,,
5,El Salvador,11,1a,72.2,6.7,2,=,58.9,,,,,
6,Jamaica,4,1a,73.1,6.2,1.7,=,58.5,,,,,
7,Panama,5,1a,76.1,7.3,3,=,57.8,,,,Colour Key for HPI and HPI Components,
8,Nicaragua,12,1a,74,5.7,1.6,=,57.1,,,,,
9,Venezuela,13,1b,74.4,7.5,3,=,56.9,,,,Component Colour Codes,
10,Guatemala,6,1a,71.2,6.3,1.8,=,56.9,,,,,
11,Bangladesh,14,5a,68.9,5,0.7,=,56.3,,,,Experienced Well-being,
12,Cuba,15,1a,79.1,5.4,1.9,=,56.2,,,,Good,More than 6.2
13,Honduras,16,1a,73.1,5.9,1.7,=,56,,,,Middling,Between 4.8 and 6.2
14,Indonesia,17,6c,69.4,5.5,1.1,=,55.5,,,,Poor,Less than 4.8
15,Israel,44,3b,81.6,7.4,4,=,55.2,,,,,
16,Pakistan,18,5a,65.4,5.3,0.8,=,54.1,,,,Life expectancy,
17,Argentina,7,1b,75.9,6.4,2.7,=,54.1,,,,Good,More than 75
18,Albania,19,7b,76.9,5.3,1.8,=,54.1,,,,Middling,Between 60 and 75
19,Chile,8,1b,79.1,6.6,3.2,=,53.9,,,,Poor,Less than 60
20,Thailand,20,6c,74.1,6.2,2.4,=,53.5,,,,,
21,Brazil,21,1b,73.5,6.8,2.9,=,52.9,,,,Ecological Footprint,
22,Mexico,9,1a,77,6.8,3.3,=,52.9,,,,Good,Less than 1.78 (equal to the world's biocapacity)
23,Ecuador,22,1b,75.6,5.8,2.4,=,52.5,,,,Middling,Between 1.78 and 3.56
24,Peru,30,1b,74,5.6,2,=,52.4,,,,Poor,Between 3.56 and 7.12
25,Philippines,23,6c,68.7,4.9,1,=,52.4,,,,Deep red,More than 7.12
26,Algeria,24,3a,73.1,5.2,1.6,=,52.2,,,,,
27,Jordan,31,3b,73.4,5.7,2.1,=,51.7,,,,HPI Colour Codes,
28,New Zealand,45,2a,80.7,7.2,4.3,=,51.6,,,,,
29,Norway,46,2d,81.1,7.6,4.8,=,51.4,,,,,All three components good
30,Palestine,25,3b,72.8,4.8,1.4,=,51.2,,,,,"Two components good, one middling"
31,Guyana,32,1a,69.9,6,2.1,=,51.2,,,,,"One component good, and two middling"
32,India,26,5a,65.4,5,0.9,=,50.9,,,,,Three components middling
33,Dominican Republic,47,1a,73.4,4.7,1.4,=,50.7,,,,,Any with one component poor
